source_image,target_image,source_aligned,target_aligned,source_mask,target_mask,merged_mask
14946.jpg,22067.jpg,data/align/source/14946__22067.png,data/align/target/14946__22067.png,data/mask/source/14946__22067.png,data/mask/target/14946__22067.png,data/mask/merged/14946__22067.png
24634.jpg,21053.jpg,data/align/source/24634__21053.png,data/align/target/24634__21053.png,data/mask/source/24634__21053.png,data/mask/target/24634__21053.png,data/mask/merged/24634__21053.png
15942.jpg,06575.jpg,data/align/source/15942__06575.png,data/align/target/15942__06575.png,data/mask/source/15942__06575.png,data/mask/target/15942__06575.png,data/mask/merged/15942__06575.png
01745.jpg,19797.jpg,data/align/source/01745__19797.png,data/align/target/01745__19797.png,data/mask/source/01745__19797.png,data/mask/target/01745__19797.png,data/mask/merged/01745__19797.png
18422.jpg,19075.jpg,data/align/source/18422__19075.png,data/align/target/18422__19075.png,data/mask/source/18422__19075.png,data/mask/target/18422__19075.png,data/mask/merged/18422__19075.png
20652.jpg,19077.jpg,data/align/source/20652__19077.png,data/align/target/20652__19077.png,data/mask/source/20652__19077.png,data/mask/target/20652__19077.png,data/mask/merged/20652__19077.png
29653.jpg,06328.jpg,data/align/source/29653__06328.png,data/align/target/29653__06328.png,data/mask/source/29653__06328.png,data/mask/target/29653__06328.png,data/mask/merged/29653__06328.png
29995.jpg,10782.jpg,data/align/source/29995__10782.png,data/align/target/29995__10782.png,data/mask/source/29995__10782.png,data/mask/target/29995__10782.png,data/mask/merged/29995__10782.png
22937.jpg,12036.jpg,data/align/source/22937__12036.png,data/align/target/22937__12036.png,data/mask/source/22937__12036.png,data/mask/target/22937__12036.png,data/mask/merged/22937__12036.png
21464.jpg,08608.jpg,data/align/source/21464__08608.png,data/align/target/21464__08608.png,data/mask/source/21464__08608.png,data/mask/target/21464__08608.png,data/mask/merged/21464__08608.png
20700.jpg,21828.jpg,data/align/source/20700__21828.png,data/align/target/20700__21828.png,data/mask/source/20700__21828.png,data/mask/target/20700__21828.png,data/mask/merged/20700__21828.png
14498.jpg,12406.jpg,data/align/source/14498__12406.png,data/align/target/14498__12406.png,data/mask/source/14498__12406.png,data/mask/target/14498__12406.png,data/mask/merged/14498__12406.png
29777.jpg,06197.jpg,data/align/source/29777__06197.png,data/align/target/29777__06197.png,data/mask/source/29777__06197.png,data/mask/target/29777__06197.png,data/mask/merged/29777__06197.png
10146.jpg,24544.jpg,data/align/source/10146__24544.png,data/align/target/10146__24544.png,data/mask/source/10146__24544.png,data/mask/target/10146__24544.png,data/mask/merged/10146__24544.png
17501.jpg,03158.jpg,data/align/source/17501__03158.png,data/align/target/17501__03158.png,data/mask/source/17501__03158.png,data/mask/target/17501__03158.png,data/mask/merged/17501__03158.png
15555.jpg,25606.jpg,data/align/source/15555__25606.png,data/align/target/15555__25606.png,data/mask/source/15555__25606.png,data/mask/target/15555__25606.png,data/mask/merged/15555__25606.png
21234.jpg,12203.jpg,data/align/source/21234__12203.png,data/align/target/21234__12203.png,data/mask/source/21234__12203.png,data/mask/target/21234__12203.png,data/mask/merged/21234__12203.png
02567.jpg,17865.jpg,data/align/source/02567__17865.png,data/align/target/02567__17865.png,data/mask/source/02567__17865.png,data/mask/target/02567__17865.png,data/mask/merged/02567__17865.png
01930.jpg,21513.jpg,data/align/source/01930__21513.png,data/align/target/01930__21513.png,data/mask/source/01930__21513.png,data/mask/target/01930__21513.png,data/mask/merged/01930__21513.png
24376.jpg,17568.jpg,data/align/source/24376__17568.png,data/align/target/24376__17568.png,data/mask/source/24376__17568.png,data/mask/target/24376__17568.png,data/mask/merged/24376__17568.png
11437.jpg,10208.jpg,data/align/source/11437__10208.png,data/align/target/11437__10208.png,data/mask/source/11437__10208.png,data/mask/target/11437__10208.png,data/mask/merged/11437__10208.png
29866.jpg,05681.jpg,data/align/source/29866__05681.png,data/align/target/29866__05681.png,data/mask/source/29866__05681.png,data/mask/target/29866__05681.png,data/mask/merged/29866__05681.png
10505.jpg,24336.jpg,data/align/source/10505__24336.png,data/align/target/10505__24336.png,data/mask/source/10505__24336.png,data/mask/target/10505__24336.png,data/mask/merged/10505__24336.png
19640.jpg,25536.jpg,data/align/source/19640__25536.png,data/align/target/19640__25536.png,data/mask/source/19640__25536.png,data/mask/target/19640__25536.png,data/mask/merged/19640__25536.png
03211.jpg,09989.jpg,data/align/source/03211__09989.png,data/align/target/03211__09989.png,data/mask/source/03211__09989.png,data/mask/target/03211__09989.png,data/mask/merged/03211__09989.png
15392.jpg,28995.jpg,data/align/source/15392__28995.png,data/align/target/15392__28995.png,data/mask/source/15392__28995.png,data/mask/target/15392__28995.png,data/mask/merged/15392__28995.png
28436.jpg,23645.jpg,data/align/source/28436__23645.png,data/align/target/28436__23645.png,data/mask/source/28436__23645.png,data/mask/target/28436__23645.png,data/mask/merged/28436__23645.png
20413.jpg,10399.jpg,data/align/source/20413__10399.png,data/align/target/20413__10399.png,data/mask/source/20413__10399.png,data/mask/target/20413__10399.png,data/mask/merged/20413__10399.png
23239.jpg,21334.jpg,data/align/source/23239__21334.png,data/align/target/23239__21334.png,data/mask/source/23239__21334.png,data/mask/target/23239__21334.png,data/mask/merged/23239__21334.png
06509.jpg,02712.jpg,data/align/source/06509__02712.png,data/align/target/06509__02712.png,data/mask/source/06509__02712.png,data/mask/target/06509__02712.png,data/mask/merged/06509__02712.png
28860.jpg,29785.jpg,data/align/source/28860__29785.png,data/align/target/28860__29785.png,data/mask/source/28860__29785.png,data/mask/target/28860__29785.png,data/mask/merged/28860__29785.png
10253.jpg,17779.jpg,data/align/source/10253__17779.png,data/align/target/10253__17779.png,data/mask/source/10253__17779.png,data/mask/target/10253__17779.png,data/mask/merged/10253__17779.png
08658.jpg,24361.jpg,data/align/source/08658__24361.png,data/align/target/08658__24361.png,data/mask/source/08658__24361.png,data/mask/target/08658__24361.png,data/mask/merged/08658__24361.png
19318.jpg,02645.jpg,data/align/source/19318__02645.png,data/align/target/19318__02645.png,data/mask/source/19318__02645.png,data/mask/target/19318__02645.png,data/mask/merged/19318__02645.png
04758.jpg,09267.jpg,data/align/source/04758__09267.png,data/align/target/04758__09267.png,data/mask/source/04758__09267.png,data/mask/target/04758__09267.png,data/mask/merged/04758__09267.png
05007.jpg,21330.jpg,data/align/source/05007__21330.png,data/align/target/05007__21330.png,data/mask/source/05007__21330.png,data/mask/target/05007__21330.png,data/mask/merged/05007__21330.png
16972.jpg,12281.jpg,data/align/source/16972__12281.png,data/align/target/16972__12281.png,data/mask/source/16972__12281.png,data/mask/target/16972__12281.png,data/mask/merged/16972__12281.png
10479.jpg,16886.jpg,data/align/source/10479__16886.png,data/align/target/10479__16886.png,data/mask/source/10479__16886.png,data/mask/target/10479__16886.png,data/mask/merged/10479__16886.png
07929.jpg,17635.jpg,data/align/source/07929__17635.png,data/align/target/07929__17635.png,data/mask/source/07929__17635.png,data/mask/target/07929__17635.png,data/mask/merged/07929__17635.png
22279.jpg,29539.jpg,data/align/source/22279__29539.png,data/align/target/22279__29539.png,data/mask/source/22279__29539.png,data/mask/target/22279__29539.png,data/mask/merged/22279__29539.png
08193.jpg,00451.jpg,data/align/source/08193__00451.png,data/align/target/08193__00451.png,data/mask/source/08193__00451.png,data/mask/target/08193__00451.png,data/mask/merged/08193__00451.png
17834.jpg,25414.jpg,data/align/source/17834__25414.png,data/align/target/17834__25414.png,data/mask/source/17834__25414.png,data/mask/target/17834__25414.png,data/mask/merged/17834__25414.png
01126.jpg,23760.jpg,data/align/source/01126__23760.png,data/align/target/01126__23760.png,data/mask/source/01126__23760.png,data/mask/target/01126__23760.png,data/mask/merged/01126__23760.png
03537.jpg,16048.jpg,data/align/source/03537__16048.png,data/align/target/03537__16048.png,data/mask/source/03537__16048.png,data/mask/target/03537__16048.png,data/mask/merged/03537__16048.png
06623.jpg,15204.jpg,data/align/source/06623__15204.png,data/align/target/06623__15204.png,data/mask/source/06623__15204.png,data/mask/target/06623__15204.png,data/mask/merged/06623__15204.png
29226.jpg,29685.jpg,data/align/source/29226__29685.png,data/align/target/29226__29685.png,data/mask/source/29226__29685.png,data/mask/target/29226__29685.png,data/mask/merged/29226__29685.png
04975.jpg,11658.jpg,data/align/source/04975__11658.png,data/align/target/04975__11658.png,data/mask/source/04975__11658.png,data/mask/target/04975__11658.png,data/mask/merged/04975__11658.png
00774.jpg,18151.jpg,data/align/source/00774__18151.png,data/align/target/00774__18151.png,data/mask/source/00774__18151.png,data/mask/target/00774__18151.png,data/mask/merged/00774__18151.png
14155.jpg,19023.jpg,data/align/source/14155__19023.png,data/align/target/14155__19023.png,data/mask/source/14155__19023.png,data/mask/target/14155__19023.png,data/mask/merged/14155__19023.png
25186.jpg,26571.jpg,data/align/source/25186__26571.png,data/align/target/25186__26571.png,data/mask/source/25186__26571.png,data/mask/target/25186__26571.png,data/mask/merged/25186__26571.png
23475.jpg,16689.jpg,data/align/source/23475__16689.png,data/align/target/23475__16689.png,data/mask/source/23475__16689.png,data/mask/target/23475__16689.png,data/mask/merged/23475__16689.png
23218.jpg,25587.jpg,data/align/source/23218__25587.png,data/align/target/23218__25587.png,data/mask/source/23218__25587.png,data/mask/target/23218__25587.png,data/mask/merged/23218__25587.png
07050.jpg,25784.jpg,data/align/source/07050__25784.png,data/align/target/07050__25784.png,data/mask/source/07050__25784.png,data/mask/target/07050__25784.png,data/mask/merged/07050__25784.png
04630.jpg,17868.jpg,data/align/source/04630__17868.png,data/align/target/04630__17868.png,data/mask/source/04630__17868.png,data/mask/target/04630__17868.png,data/mask/merged/04630__17868.png
18212.jpg,11043.jpg,data/align/source/18212__11043.png,data/align/target/18212__11043.png,data/mask/source/18212__11043.png,data/mask/target/18212__11043.png,data/mask/merged/18212__11043.png
14305.jpg,12556.jpg,data/align/source/14305__12556.png,data/align/target/14305__12556.png,data/mask/source/14305__12556.png,data/mask/target/14305__12556.png,data/mask/merged/14305__12556.png
12694.jpg,09100.jpg,data/align/source/12694__09100.png,data/align/target/12694__09100.png,data/mask/source/12694__09100.png,data/mask/target/12694__09100.png,data/mask/merged/12694__09100.png
25381.jpg,12957.jpg,data/align/source/25381__12957.png,data/align/target/25381__12957.png,data/mask/source/25381__12957.png,data/mask/target/25381__12957.png,data/mask/merged/25381__12957.png
17607.jpg,10213.jpg,data/align/source/17607__10213.png,data/align/target/17607__10213.png,data/mask/source/17607__10213.png,data/mask/target/17607__10213.png,data/mask/merged/17607__10213.png
20567.jpg,09467.jpg,data/align/source/20567__09467.png,data/align/target/20567__09467.png,data/mask/source/20567__09467.png,data/mask/target/20567__09467.png,data/mask/merged/20567__09467.png
00683.jpg,07722.jpg,data/align/source/00683__07722.png,data/align/target/00683__07722.png,data/mask/source/00683__07722.png,data/mask/target/00683__07722.png,data/mask/merged/00683__07722.png
23052.jpg,01772.jpg,data/align/source/23052__01772.png,data/align/target/23052__01772.png,data/mask/source/23052__01772.png,data/mask/target/23052__01772.png,data/mask/merged/23052__01772.png
01463.jpg,14078.jpg,data/align/source/01463__14078.png,data/align/target/01463__14078.png,data/mask/source/01463__14078.png,data/mask/target/01463__14078.png,data/mask/merged/01463__14078.png
25613.jpg,13528.jpg,data/align/source/25613__13528.png,data/align/target/25613__13528.png,data/mask/source/25613__13528.png,data/mask/target/25613__13528.png,data/mask/merged/25613__13528.png
10657.jpg,03526.jpg,data/align/source/10657__03526.png,data/align/target/10657__03526.png,data/mask/source/10657__03526.png,data/mask/target/10657__03526.png,data/mask/merged/10657__03526.png
24126.jpg,29511.jpg,data/align/source/24126__29511.png,data/align/target/24126__29511.png,data/mask/source/24126__29511.png,data/mask/target/24126__29511.png,data/mask/merged/24126__29511.png
02897.jpg,13020.jpg,data/align/source/02897__13020.png,data/align/target/02897__13020.png,data/mask/source/02897__13020.png,data/mask/target/02897__13020.png,data/mask/merged/02897__13020.png
03199.jpg,29871.jpg,data/align/source/03199__29871.png,data/align/target/03199__29871.png,data/mask/source/03199__29871.png,data/mask/target/03199__29871.png,data/mask/merged/03199__29871.png
22832.jpg,01029.jpg,data/align/source/22832__01029.png,data/align/target/22832__01029.png,data/mask/source/22832__01029.png,data/mask/target/22832__01029.png,data/mask/merged/22832__01029.png
17252.jpg,11302.jpg,data/align/source/17252__11302.png,data/align/target/17252__11302.png,data/mask/source/17252__11302.png,data/mask/target/17252__11302.png,data/mask/merged/17252__11302.png
28754.jpg,17357.jpg,data/align/source/28754__17357.png,data/align/target/28754__17357.png,data/mask/source/28754__17357.png,data/mask/target/28754__17357.png,data/mask/merged/28754__17357.png
19908.jpg,06016.jpg,data/align/source/19908__06016.png,data/align/target/19908__06016.png,data/mask/source/19908__06016.png,data/mask/target/19908__06016.png,data/mask/merged/19908__06016.png
02618.jpg,03789.jpg,data/align/source/02618__03789.png,data/align/target/02618__03789.png,data/mask/source/02618__03789.png,data/mask/target/02618__03789.png,data/mask/merged/02618__03789.png
20794.jpg,26367.jpg,data/align/source/20794__26367.png,data/align/target/20794__26367.png,data/mask/source/20794__26367.png,data/mask/target/20794__26367.png,data/mask/merged/20794__26367.png
19043.jpg,17917.jpg,data/align/source/19043__17917.png,data/align/target/19043__17917.png,data/mask/source/19043__17917.png,data/mask/target/19043__17917.png,data/mask/merged/19043__17917.png
06205.jpg,24133.jpg,data/align/source/06205__24133.png,data/align/target/06205__24133.png,data/mask/source/06205__24133.png,data/mask/target/06205__24133.png,data/mask/merged/06205__24133.png
22432.jpg,20859.jpg,data/align/source/22432__20859.png,data/align/target/22432__20859.png,data/mask/source/22432__20859.png,data/mask/target/22432__20859.png,data/mask/merged/22432__20859.png
11479.jpg,04259.jpg,data/align/source/11479__04259.png,data/align/target/11479__04259.png,data/mask/source/11479__04259.png,data/mask/target/11479__04259.png,data/mask/merged/11479__04259.png
00907.jpg,04364.jpg,data/align/source/00907__04364.png,data/align/target/00907__04364.png,data/mask/source/00907__04364.png,data/mask/target/00907__04364.png,data/mask/merged/00907__04364.png
01300.jpg,15661.jpg,data/align/source/01300__15661.png,data/align/target/01300__15661.png,data/mask/source/01300__15661.png,data/mask/target/01300__15661.png,data/mask/merged/01300__15661.png
15653.jpg,23130.jpg,data/align/source/15653__23130.png,data/align/target/15653__23130.png,data/mask/source/15653__23130.png,data/mask/target/15653__23130.png,data/mask/merged/15653__23130.png
